date,temp,prec,hum
1/1/1966 0:00,-8.6,4,74
1/2/1966 0:00,-4.7,7.3,88
1/3/1966 0:00,-3.4,2.3,91
1/4/1966 0:00,-8.9,0.5,76
1/5/1966 0:00,-13.4,0,77
1/6/1966 0:00,-12.4,0,87
1/7/1966 0:00,-15.2,0.4,83
1/8/1966 0:00,-7.9,0,84
1/9/1966 0:00,-11.3,0.6,80
1/10/1966 0:00,-12.2,0,77
1/11/1966 0:00,-11,0.4,74
1/12/1966 0:00,-11,9.4,84
1/13/1966 0:00,-12.3,0.9,79
1/14/1966 0:00,-9.6,1.3,77
1/15/1966 0:00,-14.6,0,75
1/16/1966 0:00,-19.4,0,68
1/17/1966 0:00,-15.1,1,78
1/18/1966 0:00,-10.6,0.7,83
1/19/1966 0:00,-10.3,0.3,86
1/20/1966 0:00,-21.1,0,80
1/21/1966 0:00,-14.9,0,48
1/22/1966 0:00,-11.7,0,69
1/23/1966 0:00,-7.8,0.2,83
1/24/1966 0:00,-10.8,1.2,85
1/25/1966 0:00,-10.3,1,87
1/26/1966 0:00,-5.1,0.3,87
1/27/1966 0:00,-7.2,0.2,88
1/28/1966 0:00,-12.7,0,84
1/29/1966 0:00,-11.8,0,80
1/30/1966 0:00,-3.9,4.6,89
1/31/1966 0:00,1,0.6,93
2/1/1966 0:00,-2.9,0.5,83
2/2/1966 0:00,-17.3,0,72
2/3/1966 0:00,-25.3,0,66
2/4/1966 0:00,-24.2,0,68
2/5/1966 0:00,-18.4,0,65
2/6/1966 0:00,-15.3,0.7,68
2/7/1966 0:00,-15.1,3.4,78
2/8/1966 0:00,-18.9,0.4,71
2/9/1966 0:00,-17.7,0.3,77
2/10/1966 0:00,-8.9,0,84
2/11/1966 0:00,-11.2,0,63
2/12/1966 0:00,-17.5,0,59
2/13/1966 0:00,-17.1,0,70
2/14/1966 0:00,-11.5,0,73
2/15/1966 0:00,-8.1,1.1,84
2/16/1966 0:00,-5.8,2.3,88
2/17/1966 0:00,-4.6,1.9,87
2/18/1966 0:00,-7.9,0.9,82
2/19/1966 0:00,-11.6,1.1,83
2/20/1966 0:00,-5.4,5,86
2/21/1966 0:00,0.7,0.2,93
2/22/1966 0:00,1.7,0.5,94
2/23/1966 0:00,0.7,1,96
2/24/1966 0:00,0.1,0.7,99
2/25/1966 0:00,0.4,3.4,98
2/26/1966 0:00,0.9,0.2,90
2/27/1966 0:00,1.4,2,98
2/28/1966 0:00,1.5,4.1,98
3/1/1966 0:00,1.8,0,98
3/2/1966 0:00,0.2,0,92
3/3/1966 0:00,0.7,1.9,97
3/4/1966 0:00,0.8,0,95
3/5/1966 0:00,-0.4,0.2,86
3/6/1966 0:00,0.1,0.8,97
3/7/1966 0:00,0.5,3.2,99
3/8/1966 0:00,1.3,1.1,99
3/9/1966 0:00,1,0,87
3/10/1966 0:00,-1.3,0,90
3/11/1966 0:00,-1.1,3.9,91
3/12/1966 0:00,1.3,0,89
3/13/1966 0:00,0,0.5,94
3/14/1966 0:00,-5.1,0,86
3/15/1966 0:00,-7.9,0,74
3/16/1966 0:00,-6.7,0,80
3/17/1966 0:00,0.5,0.3,94
3/18/1966 0:00,-0.1,0,83
3/19/1966 0:00,-4.5,0,74
